Date,Description,Amount,Type,Category
2024-01-01,Monthly Salary Transfer - Tech Corp,250000,Credit,Salary
2024-01-03,Foodpanda Order,1200,Debit,Food
2024-01-03,Shifa International Hospital Consultation,3900,Debit,Healthcare
2024-01-03,Uber Trip to Office,515,Debit,Travel
2024-01-04,Monthly House Rent Transfer,65000,Debit,Rent
2024-01-04,Imtiaz Super Market,19800,Debit,Shopping
2024-01-04,Sui Southern Gas Bill,3300,Debit,Utilities
2024-01-04,Chughtai Lab Diagnostic Test,7000,Debit,Healthcare
2024-01-05,Sui Southern Gas Bill,3100,Debit,Utilities
2024-01-06,PSO Petrol Pump Fuel,4100,Debit,Travel
2024-01-07,KE Electric Bill Online,23600,Debit,Utilities
2024-01-07,Al-Fatah Supermarket Grocery,13000,Debit,Shopping
2024-01-07,WASA Water & Sewerage,1600,Debit,Utilities
2024-01-08,Uber Trip to Office,1500,Debit,Travel
2024-01-08,Netflix Monthly Subscription,1500,Debit,Entertainment
2024-01-08,Netflix Monthly Subscription,1500,Debit,Entertainment
2024-01-08,Shifa International Hospital Consultation,4100,Debit,Healthcare
2024-01-08,Aga Khan Pharmacy Medicine,2800,Debit,Healthcare
2024-01-09,WASA Water & Sewerage,1800,Debit,Utilities
2024-01-10,Cash Withdrawal ATM,5200,Debit,Others
2024-01-10,Pizza Hut Delivery,2400,Debit,Food
2024-01-10,Cash Withdrawal ATM,6400,Debit,Others
2024-01-10,Aga Khan Pharmacy Medicine,3600,Debit,Healthcare
2024-01-10,KFC Gulberg Meal,1500,Debit,Food
2024-01-13,KE Electric Bill Online,31800,Debit,Utilities
2024-01-14,Freelance Upwork Payout,49628,Credit,Freelance
2024-01-14,PSO Petrol Pump Fuel,6700,Debit,Travel
2024-01-14,Aga Khan Pharmacy Medicine,2700,Debit,Healthcare
2024-01-19,Shell Fuel Station,8600,Debit,Travel
2024-01-19,Uber Trip to Office,1100,Debit,Travel
2024-01-21,Foodpanda Order,3100,Debit,Food
2024-01-21,KE Electric Bill Online,30900,Debit,Utilities
2024-01-22,Mobile Balance EasyPaisa,1200,Debit,Others
2024-01-23,Nueplex Cinema Movie Ticket,2700,Debit,Entertainment
2024-01-24,Nayatel Fiber Broadband,4100,Debit,Utilities
2024-01-24,Shifa International Hospital Consultation,5700,Debit,Healthcare
2024-01-25,WASA Water & Sewerage,1700,Debit,Utilities
2024-01-26,Cash Withdrawal ATM,10200,Debit,Others
2024-01-26,Yango Cab Booking,404,Debit,Travel
2024-01-26,Shell Fuel Station,4200,Debit,Travel
2024-01-27,Yango Cab Booking,710,Debit,Travel
2024-01-28,Arena Gaming Zone,2800,Debit,Entertainment
2024-01-29,Uber Trip to Office,656,Debit,Travel
2024-01-31,Imtiaz Super Market,16300,Debit,Shopping
2024-02-01,Monthly Salary Transfer - Tech Corp,255000,Credit,Salary
2024-02-02,Chughtai Lab Diagnostic Test,4500,Debit,Healthcare
2024-02-04,Arena Gaming Zone,1300,Debit,Entertainment
2024-02-04,Arena Gaming Zone,2300,Debit,Entertainment
2024-02-04,Yango Cab Booking,321,Debit,Travel
2024-02-04,Netflix Monthly Subscription,1500,Debit,Entertainment
2024-02-05,Shell Fuel Station,7100,Debit,Travel
2024-02-05,Uber Trip to Office,910,Debit,Travel
2024-02-05,Savour Foods Blue Area,2100,Debit,Food
2024-02-06,Monthly House Rent Transfer,65000,Debit,Rent
2024-02-06,ELO Clothing Store,6500,Debit,Shopping
2024-02-06,KE Electric Bill Online,17300,Debit,Utilities
2024-02-07,WASA Water & Sewerage,1200,Debit,Utilities
2024-02-07,PSO Petrol Pump Fuel,7300,Debit,Travel
2024-02-08,Al-Fatah Supermarket Grocery,11600,Debit,Shopping
2024-02-09,McDonalds Clifton Drive Thru,1700,Debit,Food
2024-02-09,KFC Gulberg Meal,1200,Debit,Food
2024-02-09,Cash Withdrawal ATM,20500,Debit,Others
2024-02-11,Mobile Balance EasyPaisa,1800,Debit,Others
2024-02-13,Mobile Balance EasyPaisa,1100,Debit,Others
2024-02-14,KE Electric Bill Online,19200,Debit,Utilities
2024-02-14,Sui Southern Gas Bill,7400,Debit,Utilities
2024-02-15,Freelance Upwork Payout,83956,Credit,Freelance
2024-02-15,Chughtai Lab Diagnostic Test,2300,Debit,Healthcare
2024-02-15,KE Electric Bill Online,25900,Debit,Utilities
2024-02-16,ELO Clothing Store,4600,Debit,Shopping
2024-02-16,ELO Clothing Store,6200,Debit,Shopping
2024-02-17,Foodpanda Order,1300,Debit,Food
2024-02-18,Arena Gaming Zone,1600,Debit,Entertainment
